"iso3","R0"
"ARM",0
"AFG",0
"ALB",0
"DZA",0
"ATG",0
"ARG",6.636e+11
"AUS",3.588e+11
"AUT",0
"BHS",0
"BHR",0
"BRB",0
"BGD",5.3712e+12
"BMU",0
"BTN",0
"BOL",0
"BWA",0
"BRA",1.2504e+12
"ARB",0
"BLZ",0
"SLB",0
"BRN",0
"BGR",90386298630.138
"MMR",3.4536e+12
"BDI",0
"CMR",0
"CAN",0
"CPV",0
"CAF",0
"LKA",1.944e+12
"TCD",0
"CHL",2.244e+11
"CHN",4.086e+14
"COL",1.3428e+12
"COM",0
"COG",0
"COK",0
"CRI",8.88e+10
"CUB",0
"CYP",0
"AZE",1.56e+10
"BEN",0
"DNK",0
"DMA",0
"DOM",8.244e+11
"BLR",0
"ECU",6.672e+11
"EGY",4.4928e+12
"SLV",5.76e+10
"GNQ",0
"EST",0
"FRO",0
"FJI",0
"FIN",0
"FRA",120417955942.339
"PYF",0
"DJI",0
"GEO",0
"GAB",0
"GMB",1.32e+11
"DEU",0
"BIH",0
"GHA",1.0176e+12
"KIR",0
"GRC",377227776956.081
"GRL",0
"GRD",0
"GTM",0
"GIN",5.544e+11
"GUY",4.68e+11
"HTI",2.616e+11
"HND",1.02e+11
"HKG",0
"HUN",15426817547.0215
"HRV",0
"ISL",0
"IND",9.84e+13
"IDN",1.55268e+13
"IRN",1.884e+12
"IRQ",4.74e+11
"IRL",0
"ISR",7.56e+10
"ITA",2229676272020.83
"CIV",0
"KAZ",0
"JAM",0
"JPN",7.4988e+12
"JOR",5.76e+10
"KGZ",0
"KEN",3.036e+11
"KHM",1.734e+12
"PRK",0
"KOR",4.5468e+12
"KWT",0
"LVA",0
"LAO",7.416e+11
"LBN",0
"LSO",0
"LBR",1.968e+11
"LBY",0
"LTU",0
"MAC",0
"MDG",0
"MWI",0
"MYS",1.2504e+12
"MDV",0
"MLI",8.04e+11
"MLT",0
"MRT",9.6e+10
"MUS",0
"MEX",5.76e+11
"MNG",0
"MAR",0
"MOZ",0
"MDA",0
"NAM",0
"NPL",0
"NLD",0
"ANT",0
"NCL",0
"MKD",0
"VUT",0
"NZL",0
"NIC",4.872e+11
"NER",0
"NGA",4.3416e+12
"NOR",0
"PAK",4.2336e+12
"PAN",2.952e+11
"CZE",0
"PNG",0
"PRY",5.064e+11
"PER",1.0512e+12
"PHL",1.1286e+13
"POL",0
"PRT",253113661620.21
"GNB",3.96e+10
"TLS",0
"ERI",0
"QAT",0
"ZWE",0
"ROU",64743827718.4297
"RWA",0
"RUS",3.096e+11
"KNA",0
"LCA",0
"VCT",0
"STP",0
"SAU",1.0776e+12
"SEN",8.352e+11
"SYC",0
"SLE",0
"SVN",0
"SVK",0
"SGP",0
"SOM",0
"ZAF",1.86e+11
"ESP",1193007389564.95
"SUR",0
"TJK",0
"SWZ",0
"SWE",0
"CHE",6.96e+10
"SYR",2.52e+11
"TKM",2.04e+10
"TWN",1.9776e+12
"TZA",0
"THA",1.30932e+13
"TGO",0
"TON",0
"TTO",0
"OMN",3.48e+11
"TUN",0
"TUR",2.94e+11
"ARE",2.4e+11
"UGA",0
"TUV",0
"GBR",0
"UKR",0
"USA",3.9204e+12
"BFA",0
"URY",2.148e+11
"UZB",1.752e+11
"VEN",2.88e+11
"VNM",3.9732e+12
"ETH",0
"YEM",0
"COD",0
"ZMB",0
"BEL",0
"LUX",0
"SRB",0
"MNE",0
"SDN",0
"SSD",0
"PSE",0
